id_log,Nome do Navio,Data,Porto,Tipo de Custo,Valor (USD),Descrição,Tipo de Carga,Volume,Temperatura,Volume (m³),Tonelagem,Número de Contêineres,Tipo de Contêineres,Número de Veículos,Tipo de Veículos
544,Carga Geral C,2023-01-08,Singapura,Combustível,27413.93,Combustível em Singapura,,,,,,,,,
545,Carga Geral C,2023-01-08,Singapura,Carregamento/Descarga,42781.5,Carregamento/descarga de 28521 m³ de Veículos,Veículos,28521.0,,,,,,,
546,Carga Geral D,2023-01-08,Xangai,Seguros,1900.0,Seguro diário,,,,,,,,,
547,Carga Geral E,2023-01-08,Singapura,Manutenção,2028.65,Manutenção e reparos,,,,,,,,,
548,Carga Geral E,2023-01-08,Los Angeles,Carregamento/Descarga,23737.0,Carregamento/descarga de 47474 m³ de Granéis Sólidos,Granéis Sólidos,47474.0,,,,,,,
549,Carga Geral E,2023-01-08,Singapura,Taxas Portuárias,2852.85,Taxas portuárias em Singapura,,,,,,,,,
550,Frigorífico A,2023-01-08,Xangai,Combustível,28290.41,Combustível em Xangai,,,,,,,,,
551,Frigorífico A,2023-01-08,Hamburgo,Manutenção,3240.83,Manutenção e reparos,,,,,,,,,
552,Frigorífico B,2023-01-08,Xangai,Taxas Portuárias,5983.27,Taxas portuárias em Xangai,,,,,,,,,
553,Frigorífico B,2023-01-08,Los Angeles,Manutenção,5358.9,Manutenção e reparos,,,,,,,,,
554,Frigorífico C,2023-01-08,Los Angeles,Taxas Portuárias,3967.56,Taxas portuárias em Los Angeles,,,,,,,,,
555,Frigorífico D,2023-01-08,Singapura,Carregamento/Descarga,11377.0,Carregamento/descarga de 11377 m³ de Laticínios a -18°C,Laticínios,,-18.0,11377.0,,,,,
556,Frigorífico E,2023-01-08,Xangai,Carregamento/Descarga,6753.0,Carregamento/descarga de 6753 m³ de Peixe a -18°C,Peixe,,-18.0,6753.0,,,,,
557,Frigorífico E,2023-01-08,Roterdã,Carregamento/Descarga,3849.0,Carregamento/descarga de 3849 m³ de Outros a -9°C,Outros,,-9.0,3849.0,,,,,
558,Frigorífico E,2023-01-08,Singapura,Manutenção,3960.12,Manutenção e reparos,,,,,,,,,
559,Frigorífico E,2023-01-08,Los Angeles,Manutenção,5620.42,Manutenção e reparos,,,,,,,,,
560,Graneleiro A,2023-01-08,Hamburgo,Manutenção,1437.21,Manutenção e reparos,,,,,,,,,
561,Graneleiro A,2023-01-08,Los Angeles,Taxas Portuárias,2878.59,Taxas portuárias em Los Angeles,,,,,,,,,
562,Graneleiro A,2023-01-08,Singapura,Taxas Portuárias,3351.93,Taxas portuárias em Singapura,,,,,,,,,
563,Graneleiro B,2023-01-08,Xangai,Combustível,23063.85,Combustível em Xangai,,,,,,,,,
564,Graneleiro C,2023-01-08,Roterdã,Taxas Portuárias,7742.84,Taxas portuárias em Roterdã,,,,,,,,,
565,Graneleiro C,2023-01-08,Roterdã,Taxas Portuárias,6943.04,Taxas portuárias em Roterdã,,,,,,,,,
566,Graneleiro C,2023-01-08,Los Angeles,Seguros,2000.0,Seguro diário,,,,,,,,,
567,Graneleiro C,2023-01-08,Xangai,Combustível,29066.46,Combustível em Xangai,,,,,,,,,
568,Graneleiro D,2023-01-08,Los Angeles,Manutenção,4908.02,Manutenção e reparos,,,,,,,,,
569,Graneleiro D,2023-01-08,Xangai,Seguros,2000.0,Seguro diário,,,,,,,,,
570,Graneleiro D,2023-01-08,Hamburgo,Taxas Portuárias,7047.13,Taxas portuárias em Hamburgo,,,,,,,,,
571,Graneleiro D,2023-01-08,Hamburgo,Seguros,2000.0,Seguro diário,,,,,,,,,
572,Graneleiro E,2023-01-08,Los Angeles,Seguros,2000.0,Seguro diário,,,,,,,,,
573,Graneleiro E,2023-01-08,Los Angeles,Seguros,2000.0,Seguro diário,,,,,,,,,
574,Graneleiro E,2023-01-08,Hamburgo,Seguros,2000.0,Seguro diário,,,,,,,,,
575,Graneleiro E,2023-01-08,Hamburgo,Combustível,26238.12,Combustível em Hamburgo,,,,,,,,,
576,Graneleiro E,2023-01-08,Xangai,Manutenção,2244.63,Manutenção e reparos,,,,,,,,,
577,Navio A,2023-01-08,Roterdã,Manutenção,1992.54,Manutenção e reparos,,,,,,,,,
578,Navio A,2023-01-08,Hamburgo,Seguros,1500.0,Seguro diário,,,,,,,,,
579,Navio A,2023-01-08,Hamburgo,Seguros,1500.0,Seguro diário,,,,,,,,,
580,Navio B,2023-01-08,Hamburgo,Seguros,1500.0,Seguro diário,,,,,,,,,
581,Navio B,2023-01-08,Xangai,Combustível,14363.59,Combustível em Xangai,,,,,,,,,
582,Navio B,2023-01-08,Singapura,Manuseio de Contêineres,123000.0,Manuseio de 1025 contêineres (Reefer),,,,,,1025.0,Reefer,,
583,Navio C,2023-01-08,Roterdã,Seguros,1500.0,Seguro diário,,,,,,,,,
584,Navio D,2023-01-08,Hamburgo,Combustível,14244.1,Combustível em Hamburgo,,,,,,,,,
585,Navio D,2023-01-08,Singapura,Taxas Portuárias,2172.55,Taxas portuárias em Singapura,,,,,,,,,
586,Navio D,2023-01-08,Xangai,Seguros,1500.0,Seguro diário,,,,,,,,,
587,Navio D,2023-01-08,Hamburgo,Combustível,6598.89,Combustível em Hamburgo,,,,,,,,,
588,Navio E,2023-01-08,Singapura,Combustível,17787.17,Combustível em Singapura,,,,,,,,,
589,Navio E,2023-01-08,Xangai,Manuseio de Contêineres,65350.0,Manuseio de 1307 contêineres (20'),,,,,,1307.0,20',,
590,Navio E,2023-01-08,Roterdã,Manutenção,768.76,Manutenção e reparos,,,,,,,,,
591,Ro-Ro A,2023-01-08,Xangai,Seguros,1800.0,Seguro diário,,,,,,,,,
592,Ro-Ro A,2023-01-08,Roterdã,Combustível,8317.3,Combustível em Roterdã,,,,,,,,,
593,Ro-Ro B,2023-01-08,Los Angeles,Taxas Portuárias,2671.09,Taxas portuárias em Los Angeles,,,,,,,,,
594,Ro-Ro B,2023-01-08,Xangai,Combustível,22422.56,Combustível em Xangai,,,,,,,,,
595,Ro-Ro B,2023-01-08,Hamburgo,Manutenção,2160.63,Manutenção e reparos,,,,,,,,,
596,Ro-Ro B,2023-01-08,Singapura,Embarque e Desembarque,79200.0,Embarque e desembarque de 990 Carros,,,,,,,,990.0,Carros
597,Ro-Ro B,2023-01-08,Roterdã,Combustível,16994.43,Combustível em Roterdã,,,,,,,,,
598,Ro-Ro C,2023-01-08,Singapura,Manutenção,1748.46,Manutenção e reparos,,,,,,,,,
599,Ro-Ro C,2023-01-08,Hamburgo,Combustível,13419.66,Combustível em Hamburgo,,,,,,,,,
600,Ro-Ro C,2023-01-08,Roterdã,Taxas Portuárias,4592.66,Taxas portuárias em Roterdã,,,,,,,,,
601,Ro-Ro D,2023-01-08,Xangai,Seguros,1800.0,Seguro diário,,,,,,,,,
602,Ro-Ro D,2023-01-08,Xangai,Combustível,10239.45,Combustível em Xangai,,,,,,,,,
603,Ro-Ro D,2023-01-08,Los Angeles,Combustível,13566.17,Combustível em Los Angeles,,,,,,,,,
604,Ro-Ro D,2023-01-08,Singapura,Taxas Portuárias,1554.75,Taxas portuárias em Singapura,,,,,,,,,
605,Ro-Ro D,2023-01-08,Hamburgo,Manutenção,2803.62,Manutenção e reparos,,,,,,,,,
606,Ro-Ro E,2023-01-08,Xangai,Embarque e Desembarque,102800.0,Embarque e desembarque de 514 Caminhões,,,,,,,,514.0,Caminhões
607,Ro-Ro E,2023-01-08,Xangai,Combustível,7635.39,Combustível em Xangai,,,,,,,,,
608,Ro-Ro E,2023-01-08,Roterdã,Taxas Portuárias,3371.1,Taxas portuárias em Roterdã,,,,,,,,,
609,Ro-Ro E,2023-01-08,Los Angeles,Manutenção,3021.29,Manutenção e reparos,,,,,,,,,
610,Carga Geral A,2023-01-09,Roterdã,Taxas Portuárias,5382.33,Taxas portuárias em Roterdã,,,,,,,,,
611,Carga Geral A,2023-01-09,Singapura,Seguros,1900.0,Seguro diário,,,,,,,,,
612,Carga Geral A,2023-01-09,Singapura,Manutenção,3123.46,Manutenção e reparos,,,,,,,,,
613,Carga Geral A,2023-01-09,Singapura,Taxas Portuárias,5620.34,Taxas portuárias em Singapura,,,,,,,,,
614,Carga Geral A,2023-01-09,Xangai,Seguros,1900.0,Seguro diário,,,,,,,,,
615,Carga Geral B,2023-01-09,Los Angeles,Taxas Portuárias,4379.17,Taxas portuárias em Los Angeles,,,,,,,,,
616,Carga Geral B,2023-01-09,Xangai,Carregamento/Descarga,35596.8,Carregamento/descarga de 44496 m³ de Carga Solta,Carga Solta,44496.0,,,,,,,
617,Carga Geral C,2023-01-09,Roterdã,Seguros,1900.0,Seguro diário,,,,,,,,,
618,Carga Geral D,2023-01-09,Xangai,Carregamento/Descarga,14798.0,Carregamento/descarga de 14798 m³ de Outros,Outros,14798.0,,,,,,,
619,Carga Geral D,2023-01-09,Hamburgo,Carregamento/Descarga,17117.5,Carregamento/descarga de 34235 m³ de Granéis Sólidos,Granéis Sólidos,34235.0,,,,,,,
620,Carga Geral D,2023-01-09,Roterdã,Manutenção,1463.23,Manutenção e reparos,,,,,,,,,
621,Carga Geral D,2023-01-09,Roterdã,Carregamento/Descarga,6503.2,Carregamento/descarga de 8129 m³ de Carga Solta,Carga Solta,8129.0,,,,,,,
622,Carga Geral E,2023-01-09,Roterdã,Manutenção,2037.78,Manutenção e reparos,,,,,,,,,
623,Carga Geral E,2023-01-09,Hamburgo,Taxas Portuárias,6775.09,Taxas portuárias em Hamburgo,,,,,,,,,
624,Frigorífico A,2023-01-09,Los Angeles,Manutenção,1456.61,Manutenção e reparos,,,,,,,,,
625,Frigorífico A,2023-01-09,Hamburgo,Carregamento/Descarga,19488.0,Carregamento/descarga de 19488 m³ de Laticínios a -9°C,Laticínios,,-9.0,19488.0,,,,,
626,Frigorífico A,2023-01-09,Xangai,Taxas Portuárias,3794.41,Taxas portuárias em Xangai,,,,,,,,,
627,Frigorífico A,2023-01-09,Roterdã,Seguros,2500.0,Seguro diário,,,,,,,,,
628,Frigorífico B,2023-01-09,Xangai,Seguros,2500.0,Seguro diário,,,,,,,,,
629,Frigorífico B,2023-01-09,Xangai,Combustível,15258.2,Combustível em Xangai,,,,,,,,,
630,Frigorífico B,2023-01-09,Roterdã,Carregamento/Descarga,2877.0,Carregamento/descarga de 2877 m³ de Outros a -16°C,Outros,,-16.0,2877.0,,,,,
631,Frigorífico B,2023-01-09,Hamburgo,Taxas Portuárias,6391.45,Taxas portuárias em Hamburgo,,,,,,,,,
632,Frigorífico B,2023-01-09,Los Angeles,Manutenção,1451.35,Manutenção e reparos,,,,,,,,,
633,Frigorífico C,2023-01-09,Roterdã,Combustível,16082.25,Combustível em Roterdã,,,,,,,,,
634,Frigorífico C,2023-01-09,Singapura,Seguros,2500.0,Seguro diário,,,,,,,,,
635,Frigorífico C,2023-01-09,Xangai,Seguros,2500.0,Seguro diário,,,,,,,,,
636,Frigorífico C,2023-01-09,Singapura,Carregamento/Descarga,10582.0,Carregamento/descarga de 10582 m³ de Peixe a -5°C,Peixe,,-5.0,10582.0,,,,,
637,Frigorífico D,2023-01-09,Hamburgo,Manutenção,3202.65,Manutenção e reparos,,,,,,,,,
638,Frigorífico D,2023-01-09,Roterdã,Seguros,2500.0,Seguro diário,,,,,,,,,
639,Frigorífico D,2023-01-09,Hamburgo,Manutenção,3300.52,Manutenção e reparos,,,,,,,,,
640,Frigorífico D,2023-01-09,Xangai,Seguros,2500.0,Seguro diário,,,,,,,,,
641,Frigorífico D,2023-01-09,Hamburgo,Taxas Portuárias,5668.47,Taxas portuárias em Hamburgo,,,,,,,,,
642,Frigorífico E,2023-01-09,Hamburgo,Carregamento/Descarga,11314.0,Carregamento/descarga de 11314 m³ de Peixe a -4°C,Peixe,,-4.0,11314.0,,,,,
643,Frigorífico E,2023-01-09,Los Angeles,Combustível,34947.51,Combustível em Los Angeles,,,,,,,,,
644,Frigorífico E,2023-01-09,Singapura,Combustível,25543.89,Combustível em Singapura,,,,,,,,,
645,Frigorífico E,2023-01-09,Los Angeles,Manutenção,3790.2,Manutenção e reparos,,,,,,,,,
646,Frigorífico E,2023-01-09,Xangai,Seguros,2500.0,Seguro diário,,,,,,,,,
647,Graneleiro A,2023-01-09,Xangai,Manutenção,3497.03,Manutenção e reparos,,,,,,,,,
648,Graneleiro B,2023-01-09,Xangai,Combustível,25926.93,Combustível em Xangai,,,,,,,,,
649,Graneleiro B,2023-01-09,Hamburgo,Combustível,27613.64,Combustível em Hamburgo,,,,,,,,,
650,Graneleiro C,2023-01-09,Los Angeles,Manutenção,2252.18,Manutenção e reparos,,,,,,,,,
651,Graneleiro C,2023-01-09,Xangai,Carga e Descarga,1078100.0,Carga e descarga de 53905 toneladas de Fertilizantes,Fertilizantes,,,,53905.0,,,,
652,Graneleiro C,2023-01-09,Roterdã,Manutenção,3222.84,Manutenção e reparos,,,,,,,,,
653,Graneleiro D,2023-01-09,Hamburgo,Taxas Portuárias,5985.17,Taxas portuárias em Hamburgo,,,,,,,,,
654,Graneleiro D,2023-01-09,Hamburgo,Seguros,2000.0,Seguro diário,,,,,,,,,
655,Graneleiro D,2023-01-09,Los Angeles,Taxas Portuárias,7914.53,Taxas portuárias em Los Angeles,,,,,,,,,
656,Graneleiro D,2023-01-09,Xangai,Seguros,2000.0,Seguro diário,,,,,,,,,
657,Graneleiro E,2023-01-09,Hamburgo,Taxas Portuárias,2166.47,Taxas portuárias em Hamburgo,,,,,,,,,
658,Graneleiro E,2023-01-09,Hamburgo,Carga e Descarga,1382184.0,Carga e descarga de 76788 toneladas de Bauxita,Bauxita,,,,76788.0,,,,
659,Graneleiro E,2023-01-09,Xangai,Carga e Descarga,172110.0,Carga e descarga de 11474 toneladas de Minério de Ferro,Minério de Ferro,,,,11474.0,,,,
660,Navio A,2023-01-09,Hamburgo,Manutenção,807.63,Manutenção e reparos,,,,,,,,,
661,Navio A,2023-01-09,Roterdã,Seguros,1500.0,Seguro diário,,,,,,,,,
662,Navio A,2023-01-09,Hamburgo,Seguros,1500.0,Seguro diário,,,,,,,,,
663,Navio A,2023-01-09,Hamburgo,Seguros,1500.0,Seguro diário,,,,,,,,,
664,Navio B,2023-01-09,Singapura,Taxas Portuárias,4120.37,Taxas portuárias em Singapura,,,,,,,,,
665,Navio B,2023-01-09,Xangai,Seguros,1500.0,Seguro diário,,,,,,,,,
666,Navio C,2023-01-09,Singapura,Manutenção,1202.17,Manutenção e reparos,,,,,,,,,
667,Navio C,2023-01-09,Hamburgo,Combustível,17963.71,Combustível em Hamburgo,,,,,,,,,
668,Navio C,2023-01-09,Roterdã,Manuseio de Contêineres,62050.0,Manuseio de 1241 contêineres (20'),,,,,,1241.0,20',,
669,Navio C,2023-01-09,Xangai,Manutenção,2448.18,Manutenção e reparos,,,,,,,,,
670,Navio C,2023-01-09,Xangai,Manuseio de Contêineres,159040.0,Manuseio de 1988 contêineres (40'),,,,,,1988.0,40',,
671,Navio D,2023-01-09,Singapura,Manuseio de Contêineres,77700.0,Manuseio de 1554 contêineres (20'),,,,,,1554.0,20',,
672,Navio E,2023-01-09,Singapura,Taxas Portuárias,1691.33,Taxas portuárias em Singapura,,,,,,,,,
673,Navio E,2023-01-09,Los Angeles,Seguros,1500.0,Seguro diário,,,,,,,,,
674,Ro-Ro A,2023-01-09,Roterdã,Embarque e Desembarque,40000.0,Embarque e desembarque de 200 Caminhões,,,,,,,,200.0,Caminhões
675,Ro-Ro B,2023-01-09,Los Angeles,Combustível,7837.19,Combustível em Los Angeles,,,,,,,,,
676,Ro-Ro B,2023-01-09,Roterdã,Manutenção,1875.69,Manutenção e reparos,,,,,,,,,
677,Ro-Ro C,2023-01-09,Xangai,Manutenção,1744.71,Manutenção e reparos,,,,,,,,,
678,Ro-Ro C,2023-01-09,Xangai,Combustível,12207.23,Combustível em Xangai,,,,,,,,,
679,Ro-Ro C,2023-01-09,Roterdã,Taxas Portuárias,5241.02,Taxas portuárias em Roterdã,,,,,,,,,
680,Ro-Ro C,2023-01-09,Xangai,Manutenção,2274.95,Manutenção e reparos,,,,,,,,,
681,Ro-Ro C,2023-01-09,Singapura,Embarque e Desembarque,30800.0,Embarque e desembarque de 385 Carros,,,,,,,,385.0,Carros
682,Ro-Ro D,2023-01-09,Xangai,Seguros,1800.0,Seguro diário,,,,,,,,,
683,Ro-Ro D,2023-01-09,Roterdã,Taxas Portuárias,1940.7,Taxas portuárias em Roterdã,,,,,,,,,
684,Ro-Ro E,2023-01-09,Singapura,Seguros,1800.0,Seguro diário,,,,,,,,,
685,Ro-Ro E,2023-01-09,Xangai,Manutenção,2992.03,Manutenção e reparos,,,,,,,,,
686,Ro-Ro E,2023-01-09,Los Angeles,Taxas Portuárias,4324.32,Taxas portuárias em Los Angeles,,,,,,,,,
687,Carga Geral A,2023-01-10,Xangai,Carregamento/Descarga,5938.4,Carregamento/descarga de 7423 m³ de Carga Solta,Carga Solta,7423.0,,,,,,,
688,Carga Geral A,2023-01-10,Roterdã,Seguros,1900.0,Seguro diário,,,,,,,,,
689,Carga Geral B,2023-01-10,Los Angeles,Combustível,22763.92,Combustível em Los Angeles,,,,,,,,,
690,Carga Geral B,2023-01-10,Los Angeles,Manutenção,2499.14,Manutenção e reparos,,,,,,,,,
691,Carga Geral C,2023-01-10,Hamburgo,Carregamento/Descarga,21851.2,Carregamento/descarga de 27314 m³ de Carga Solta,Carga Solta,27314.0,,,,,,,
692,Carga Geral C,2023-01-10,Singapura,Carregamento/Descarga,9199.0,Carregamento/descarga de 18398 m³ de Granéis Sólidos,Granéis Sólidos,18398.0,,,,,,,
693,Carga Geral C,2023-01-10,Xangai,Combustível,19891.61,Combustível em Xangai,,,,,,,,,
694,Carga Geral C,2023-01-10,Roterdã,Taxas Portuárias,6834.13,Taxas portuárias em Roterdã,,,,,,,,,
695,Carga Geral C,2023-01-10,Singapura,Manutenção,1761.76,Manutenção e reparos,,,,,,,,,
696,Carga Geral D,2023-01-10,Roterdã,Seguros,1900.0,Seguro diário,,,,,,,,,
697,Carga Geral E,2023-01-10,Hamburgo,Carregamento/Descarga,32284.0,Carregamento/descarga de 32284 m³ de Outros,Outros,32284.0,,,,,,,
698,Carga Geral E,2023-01-10,Roterdã,Seguros,1900.0,Seguro diário,,,,,,,,,
699,Carga Geral E,2023-01-10,Roterdã,Manutenção,4297.12,Manutenção e reparos,,,,,,,,,
700,Carga Geral E,2023-01-10,Roterdã,Seguros,1900.0,Seguro diário,,,,,,,,,
701,Frigorífico A,2023-01-10,Roterdã,Combustível,14371.43,Combustível em Roterdã,,,,,,,,,
702,Frigorífico A,2023-01-10,Hamburgo,Taxas Portuárias,2815.58,Taxas portuárias em Hamburgo,,,,,,,,,
703,Frigorífico A,2023-01-10,Roterdã,Manutenção,4573.77,Manutenção e reparos,,,,,,,,,
704,Frigorífico A,2023-01-10,Hamburgo,Carregamento/Descarga,18976.0,Carregamento/descarga de 18976 m³ de Outros a -18°C,Outros,,-18.0,18976.0,,,,,
705,Frigorífico B,2023-01-10,Xangai,Carregamento/Descarga,3638.0,Carregamento/descarga de 3638 m³ de Peixe a -12°C,Peixe,,-12.0,3638.0,,,,,
706,Frigorífico B,2023-01-10,Roterdã,Combustível,17262.66,Combustível em Roterdã,,,,,,,,,
707,Frigorífico B,2023-01-10,Hamburgo,Manutenção,1651.11,Manutenção e reparos,,,,,,,,,
708,Frigorífico C,2023-01-10,Roterdã,Carregamento/Descarga,10599.6,Carregamento/descarga de 8833 m³ de Peixe a 5°C,Peixe,,5.0,8833.0,,,,,
709,Frigorífico C,2023-01-10,Roterdã,Carregamento/Descarga,7057.0,Carregamento/descarga de 7057 m³ de Peixe a -17°C,Peixe,,-17.0,7057.0,,,,,
710,Frigorífico D,2023-01-10,Los Angeles,Combustível,11097.46,Combustível em Los Angeles,,,,,,,,,
711,Frigorífico D,2023-01-10,Xangai,Seguros,2500.0,Seguro diário,,,,,,,,,
712,Frigorífico D,2023-01-10,Xangai,Manutenção,4252.1,Manutenção e reparos,,,,,,,,,
713,Frigorífico D,2023-01-10,Los Angeles,Manutenção,2939.63,Manutenção e reparos,,,,,,,,,
714,Frigorífico E,2023-01-10,Xangai,Carregamento/Descarga,20356.2,Carregamento/descarga de 11309 m³ de Laticínios a -10°C,Laticínios,,-10.0,11309.0,,,,,
715,Graneleiro A,2023-01-10,Roterdã,Taxas Portuárias,6375.78,Taxas portuárias em Roterdã,,,,,,,,,
716,Graneleiro B,2023-01-10,Hamburgo,Combustível,10581.68,Combustível em Hamburgo,,,,,,,,,
717,Graneleiro B,2023-01-10,Hamburgo,Seguros,2000.0,Seguro diário,,,,,,,,,
718,Graneleiro B,2023-01-10,Hamburgo,Taxas Portuárias,7868.89,Taxas portuárias em Hamburgo,,,,,,,,,
719,Graneleiro B,2023-01-10,Xangai,Manutenção,3370.91,Manutenção e reparos,,,,,,,,,
720,Graneleiro B,2023-01-10,Singapura,Carga e Descarga,711620.0,Carga e descarga de 35581 toneladas de Fertilizantes,Fertilizantes,,,,35581.0,,,,
721,Graneleiro C,2023-01-10,Los Angeles,Manutenção,3238.52,Manutenção e reparos,,,,,,,,,
722,Graneleiro C,2023-01-10,Singapura,Manutenção,3380.86,Manutenção e reparos,,,,,,,,,
723,Graneleiro C,2023-01-10,Roterdã,Seguros,2000.0,Seguro diário,,,,,,,,,
724,Graneleiro C,2023-01-10,Roterdã,Carga e Descarga,247140.0,Carga e descarga de 16476 toneladas de Minério de Ferro,Minério de Ferro,,,,16476.0,,,,
725,Graneleiro D,2023-01-10,Los Angeles,Taxas Portuárias,7348.72,Taxas portuárias em Los Angeles,,,,,,,,,
726,Graneleiro D,2023-01-10,Singapura,Manutenção,2383.92,Manutenção e reparos,,,,,,,,,
727,Graneleiro D,2023-01-10,Roterdã,Seguros,2000.0,Seguro diário,,,,,,,,,
728,Graneleiro D,2023-01-10,Los Angeles,Taxas Portuárias,7561.43,Taxas portuárias em Los Angeles,,,,,,,,,
729,Graneleiro D,2023-01-10,Xangai,Combustível,26969.24,Combustível em Xangai,,,,,,,,,
730,Graneleiro E,2023-01-10,Los Angeles,Seguros,2000.0,Seguro diário,,,,,,,,,
731,Graneleiro E,2023-01-10,Roterdã,Combustível,20649.54,Combustível em Roterdã,,,,,,,,,
732,Graneleiro E,2023-01-10,Singapura,Seguros,2000.0,Seguro diário,,,,,,,,,
733,Navio A,2023-01-10,Hamburgo,Combustível,19412.04,Combustível em Hamburgo,,,,,,,,,
734,Navio A,2023-01-10,Roterdã,Taxas Portuárias,4508.8,Taxas portuárias em Roterdã,,,,,,,,,
735,Navio A,2023-01-10,Roterdã,Manutenção,2464.19,Manutenção e reparos,,,,,,,,,
736,Navio A,2023-01-10,Singapura,Manuseio de Contêineres,156120.0,Manuseio de 1301 contêineres (Reefer),,,,,,1301.0,Reefer,,
737,Navio B,2023-01-10,Xangai,Manuseio de Contêineres,138720.0,Manuseio de 1156 contêineres (Reefer),,,,,,1156.0,Reefer,,
738,Navio C,2023-01-10,Los Angeles,Combustível,19018.19,Combustível em Los Angeles,,,,,,,,,
739,Navio D,2023-01-10,Singapura,Combustível,11200.27,Combustível em Singapura,,,,,,,,,
740,Navio D,2023-01-10,Hamburgo,Manutenção,2027.56,Manutenção e reparos,,,,,,,,,
741,Navio D,2023-01-10,Singapura,Manutenção,612.48,Manutenção e reparos,,,,,,,,,
742,Navio D,2023-01-10,Singapura,Taxas Portuárias,4122.83,Taxas portuárias em Singapura,,,,,,,,,
743,Navio D,2023-01-10,Singapura,Seguros,1500.0,Seguro diário,,,,,,,,,
744,Navio E,2023-01-10,Roterdã,Manuseio de Contêineres,79050.0,Manuseio de 1581 contêineres (20'),,,,,,1581.0,20',,
745,Navio E,2023-01-10,Xangai,Combustível,14435.93,Combustível em Xangai,,,,,,,,,
746,Navio E,2023-01-10,Los Angeles,Manuseio de Contêineres,44960.0,Manuseio de 562 contêineres (40'),,,,,,562.0,40',,
747,Navio E,2023-01-10,Roterdã,Taxas Portuárias,4720.91,Taxas portuárias em Roterdã,,,,,,,,,
748,Ro-Ro A,2023-01-10,Hamburgo,Seguros,1800.0,Seguro diário,,,,,,,,,
749,Ro-Ro A,2023-01-10,Los Angeles,Taxas Portuárias,5041.52,Taxas portuárias em Los Angeles,,,,,,,,,
750,Ro-Ro A,2023-01-10,Roterdã,Manutenção,3437.23,Manutenção e reparos,,,,,,,,,
751,Ro-Ro A,2023-01-10,Los Angeles,Manutenção,2125.67,Manutenção e reparos,,,,,,,,,
752,Ro-Ro B,2023-01-10,Los Angeles,Seguros,1800.0,Seguro diário,,,,,,,,,
753,Ro-Ro C,2023-01-10,Los Angeles,Combustível,19228.52,Combustível em Los Angeles,,,,,,,,,
754,Ro-Ro C,2023-01-10,Xangai,Seguros,1800.0,Seguro diário,,,,,,,,,
755,Ro-Ro D,2023-01-10,Los Angeles,Combustível,19885.37,Combustível em Los Angeles,,,,,,,,,
756,Ro-Ro D,2023-01-10,Hamburgo,Combustível,10850.82,Combustível em Hamburgo,,,,,,,,,
757,Ro-Ro D,2023-01-10,Roterdã,Taxas Portuárias,4629.58,Taxas portuárias em Roterdã,,,,,,,,,
758,Ro-Ro D,2023-01-10,Singapura,Manutenção,1193.93,Manutenção e reparos,,,,,,,,,
759,Ro-Ro D,2023-01-10,Singapura,Embarque e Desembarque,75800.0,Embarque e desembarque de 379 Caminhões,,,,,,,,379.0,Caminhões
760,Ro-Ro E,2023-01-10,Singapura,Embarque e Desembarque,24560.0,Embarque e desembarque de 307 Carros,,,,,,,,307.0,Carros
761,Ro-Ro E,2023-01-10,Singapura,Seguros,1800.0,Seguro diário,,,,,,,,,
762,Ro-Ro E,2023-01-10,Roterdã,Embarque e Desembarque,52000.0,Embarque e desembarque de 260 Caminhões,,,,,,,,260.0,Caminhões
763,Ro-Ro E,2023-01-10,Roterdã,Manutenção,3324.27,Manutenção e reparos,,,,,,,,,
764,Carga Geral A,2023-01-11,Los Angeles,Combustível,19891.28,Combustível em Los Angeles,,,,,,,,,
765,Carga Geral A,2023-01-11,Hamburgo,Carregamento/Descarga,13798.5,Carregamento/descarga de 9199 m³ de Veículos,Veículos,9199.0,,,,,,,
766,Carga Geral A,2023-01-11,Xangai,Seguros,1900.0,Seguro diário,,,,,,,,,
767,Carga Geral A,2023-01-11,Xangai,Seguros,1900.0,Seguro diário,,,,,,,,,
768,Carga Geral A,2023-01-11,Singapura,Carregamento/Descarga,56928.0,Carregamento/descarga de 47440 m³ de Contêineres,Contêineres,47440.0,,,,,,,
769,Carga Geral B,2023-01-11,Roterdã,Taxas Portuárias,4823.1,Taxas portuárias em Roterdã,,,,,,,,,
770,Carga Geral B,2023-01-11,Singapura,Manutenção,940.71,Manutenção e reparos,,,,,,,,,
771,Carga Geral C,2023-01-11,Xangai,Seguros,1900.0,Seguro diário,,,,,,,,,
772,Carga Geral C,2023-01-11,Hamburgo,Taxas Portuárias,4870.7,Taxas portuárias em Hamburgo,,,,,,,,,
773,Carga Geral C,2023-01-11,Xangai,Taxas Portuárias,4139.74,Taxas portuárias em Xangai,,,,,,,,,
774,Carga Geral C,2023-01-11,Hamburgo,Combustível,10031.8,Combustível em Hamburgo,,,,,,,,,
775,Carga Geral C,2023-01-11,Hamburgo,Combustível,8134.51,Combustível em Hamburgo,,,,,,,,,
776,Carga Geral D,2023-01-11,Roterdã,Seguros,1900.0,Seguro diário,,,,,,,,,
777,Carga Geral D,2023-01-11,Los Angeles,Seguros,1900.0,Seguro diário,,,,,,,,,
778,Carga Geral E,2023-01-11,Xangai,Combustível,17318.04,Combustível em Xangai,,,,,,,,,
779,Carga Geral E,2023-01-11,Roterdã,Combustível,23565.43,Combustível em Roterdã,,,,,,,,,
