Nome do Navio,Data,Porto,Tipo de Custo,Valor (USD),Descrição,Tipo de Carga,Tonelagem
Graneleiro D,2023-01-17,Singapura,Manutenção,"2,784.80",Manutenção e reparos,,
Graneleiro E,2023-01-17,Singapura,Combustível,"21,166.78",Combustível em Singapura,,
Graneleiro E,2023-01-17,Singapura,Carga e Descarga,"738,610.00",Carga e descarga de 73861 toneladas de Grãos,Grãos,73861.0
Graneleiro A,2023-01-18,Xangai,Carga e Descarga,"412,815.00",Carga e descarga de 27521 toneladas de Minério de Ferro,Minério de Ferro,27521.0
Graneleiro A,2023-01-18,Roterdã,Combustível,"24,667.09",Combustível em Roterdã,,
Graneleiro A,2023-01-18,Roterdã,Manutenção,"4,464.21",Manutenção e reparos,,
Graneleiro A,2023-01-18,Hamburgo,Taxas Portuárias,"2,188.47",Taxas portuárias em Hamburgo,,
Graneleiro A,2023-01-18,Singapura,Taxas Portuárias,"6,722.82",Taxas portuárias em Singapura,,
Graneleiro B,2023-01-18,Roterdã,Taxas Portuárias,"3,054.51",Taxas portuárias em Roterdã,,
Graneleiro B,2023-01-18,Roterdã,Carga e Descarga,"841,536.00",Carga e descarga de 70128 toneladas de Carvão,Carvão,70128.0
Graneleiro B,2023-01-18,Singapura,Carga e Descarga,"700,488.00",Carga e descarga de 58374 toneladas de Carvão,Carvão,58374.0
Graneleiro B,2023-01-18,Hamburgo,Manutenção,"4,219.61",Manutenção e reparos,,
Graneleiro B,2023-01-18,Hamburgo,Manutenção,"1,357.71",Manutenção e reparos,,
Graneleiro C,2023-01-18,Singapura,Combustível,"28,299.49",Combustível em Singapura,,
Graneleiro C,2023-01-18,Hamburgo,Seguros,"2,000.00",Seguro diário,,
Graneleiro D,2023-01-18,Roterdã,Taxas Portuárias,"2,973.15",Taxas portuárias em Roterdã,,
Graneleiro D,2023-01-18,Los Angeles,Seguros,"2,000.00",Seguro diário,,
Graneleiro D,2023-01-18,Singapura,Manutenção,"3,126.21",Manutenção e reparos,,
Graneleiro D,2023-01-18,Roterdã,Seguros,"2,000.00",Seguro diário,,
Graneleiro E,2023-01-18,Hamburgo,Manutenção,"1,443.81",Manutenção e reparos,,
Graneleiro E,2023-01-18,Hamburgo,Carga e Descarga,"322,074.00",Carga e descarga de 17893 toneladas de Bauxita,Bauxita,17893.0
Graneleiro E,2023-01-18,Hamburgo,Seguros,"2,000.00",Seguro diário,,
Graneleiro E,2023-01-18,Roterdã,Carga e Descarga,"537,696.00",Carga e descarga de 44808 toneladas de Carvão,Carvão,44808.0
Graneleiro E,2023-01-18,Xangai,Seguros,"2,000.00",Seguro diário,,
Graneleiro A,2023-01-19,Roterdã,Taxas Portuárias,"2,755.33",Taxas portuárias em Roterdã,,
Graneleiro A,2023-01-19,Hamburgo,Manutenção,"2,909.55",Manutenção e reparos,,
Graneleiro A,2023-01-19,Roterdã,Seguros,"2,000.00",Seguro diário,,
Graneleiro A,2023-01-19,Hamburgo,Taxas Portuárias,"5,951.77",Taxas portuárias em Hamburgo,,
Graneleiro B,2023-01-19,Singapura,Carga e Descarga,"1,397,440.00",Carga e descarga de 69872 toneladas de Fertilizantes,Fertilizantes,69872.0
Graneleiro C,2023-01-19,Los Angeles,Manutenção,"4,190.67",Manutenção e reparos,,
Graneleiro C,2023-01-19,Roterdã,Carga e Descarga,"355,250.00",Carga e descarga de 35525 toneladas de Grãos,Grãos,35525.0
Graneleiro C,2023-01-19,Roterdã,Taxas Portuárias,"5,806.44",Taxas portuárias em Roterdã,,
Graneleiro D,2023-01-19,Los Angeles,Seguros,"2,000.00",Seguro diário,,
Graneleiro D,2023-01-19,Hamburgo,Seguros,"2,000.00",Seguro diário,,
Graneleiro D,2023-01-19,Roterdã,Carga e Descarga,"1,359,612.00",Carga e descarga de 75534 toneladas de Bauxita,Bauxita,75534.0
Graneleiro D,2023-01-19,Xangai,Combustível,"9,957.87",Combustível em Xangai,,
Graneleiro D,2023-01-19,Hamburgo,Combustível,"19,008.20",Combustível em Hamburgo,,
Graneleiro E,2023-01-19,Los Angeles,Combustível,"27,097.26",Combustível em Los Angeles,,
Graneleiro E,2023-01-19,Xangai,Seguros,"2,000.00",Seguro diário,,
Graneleiro A,2023-01-20,Hamburgo,Seguros,"2,000.00",Seguro diário,,
Graneleiro A,2023-01-20,Los Angeles,Combustível,"23,856.62",Combustível em Los Angeles,,
Graneleiro B,2023-01-20,Hamburgo,Taxas Portuárias,"5,308.14",Taxas portuárias em Hamburgo,,
Graneleiro B,2023-01-20,Xangai,Combustível,"13,068.46",Combustível em Xangai,,
Graneleiro C,2023-01-20,Xangai,Taxas Portuárias,"5,987.40",Taxas portuárias em Xangai,,
Graneleiro C,2023-01-20,Singapura,Seguros,"2,000.00",Seguro diário,,
Graneleiro C,2023-01-20,Singapura,Seguros,"2,000.00",Seguro diário,,
Graneleiro C,2023-01-20,Los Angeles,Carga e Descarga,"124,330.00",Carga e descarga de 12433 toneladas de Grãos,Grãos,12433.0
Graneleiro C,2023-01-20,Roterdã,Combustível,"10,940.22",Combustível em Roterdã,,
Graneleiro D,2023-01-20,Xangai,Carga e Descarga,"476,652.00",Carga e descarga de 39721 toneladas de Carvão,Carvão,39721.0
Graneleiro D,2023-01-20,Hamburgo,Taxas Portuárias,"3,342.21",Taxas portuárias em Hamburgo,,
Graneleiro D,2023-01-20,Hamburgo,Taxas Portuárias,"3,885.73",Taxas portuárias em Hamburgo,,
Graneleiro E,2023-01-20,Roterdã,Seguros,"2,000.00",Seguro diário,,
Graneleiro E,2023-01-20,Hamburgo,Manutenção,"3,603.43",Manutenção e reparos,,
Graneleiro E,2023-01-20,Los Angeles,Seguros,"2,000.00",Seguro diário,,
Graneleiro A,2023-01-21,Singapura,Manutenção,"1,697.67",Manutenção e reparos,,
Graneleiro A,2023-01-21,Los Angeles,Manutenção,"3,349.68",Manutenção e reparos,,
Graneleiro A,2023-01-21,Xangai,Seguros,"2,000.00",Seguro diário,,
Graneleiro A,2023-01-21,Xangai,Combustível,"22,549.07",Combustível em Xangai,,
Graneleiro A,2023-01-21,Xangai,Taxas Portuárias,"3,132.25",Taxas portuárias em Xangai,,
Graneleiro B,2023-01-21,Xangai,Combustível,"9,066.01",Combustível em Xangai,,
Graneleiro B,2023-01-21,Hamburgo,Seguros,"2,000.00",Seguro diário,,
Graneleiro B,2023-01-21,Singapura,Combustível,"21,895.41",Combustível em Singapura,,
Graneleiro C,2023-01-21,Roterdã,Carga e Descarga,"351,440.00",Carga e descarga de 17572 toneladas de Fertilizantes,Fertilizantes,17572.0
Graneleiro C,2023-01-21,Los Angeles,Carga e Descarga,"729,840.00",Carga e descarga de 60820 toneladas de Carvão,Carvão,60820.0
Graneleiro D,2023-01-21,Hamburgo,Seguros,"2,000.00",Seguro diário,,
Graneleiro E,2023-01-21,Los Angeles,Seguros,"2,000.00",Seguro diário,,
Graneleiro E,2023-01-21,Hamburgo,Manutenção,"1,706.33",Manutenção e reparos,,
Graneleiro E,2023-01-21,Singapura,Taxas Portuárias,"7,542.15",Taxas portuárias em Singapura,,
Graneleiro E,2023-01-21,Xangai,Seguros,"2,000.00",Seguro diário,,
Graneleiro A,2023-01-22,Singapura,Combustível,"11,131.62",Combustível em Singapura,,
Graneleiro A,2023-01-22,Los Angeles,Combustível,"16,431.98",Combustível em Los Angeles,,
Graneleiro A,2023-01-22,Singapura,Seguros,"2,000.00",Seguro diário,,
Graneleiro A,2023-01-22,Los Angeles,Combustível,"14,906.37",Combustível em Los Angeles,,
Graneleiro B,2023-01-22,Los Angeles,Seguros,"2,000.00",Seguro diário,,
Graneleiro B,2023-01-22,Los Angeles,Carga e Descarga,"504,010.00",Carga e descarga de 50401 toneladas de Grãos,Grãos,50401.0
Graneleiro B,2023-01-22,Singapura,Carga e Descarga,"1,193,094.00",Carga e descarga de 66283 toneladas de Bauxita,Bauxita,66283.0
Graneleiro B,2023-01-22,Xangai,Combustível,"22,261.51",Combustível em Xangai,,
Graneleiro C,2023-01-22,Roterdã,Seguros,"2,000.00",Seguro diário,,
Graneleiro D,2023-01-22,Xangai,Manutenção,"4,031.15",Manutenção e reparos,,
Graneleiro D,2023-01-22,Xangai,Manutenção,"1,350.55",Manutenção e reparos,,
Graneleiro E,2023-01-22,Roterdã,Combustível,"23,451.22",Combustível em Roterdã,,
Graneleiro E,2023-01-22,Singapura,Taxas Portuárias,"2,733.93",Taxas portuárias em Singapura,,
Graneleiro E,2023-01-22,Xangai,Seguros,"2,000.00",Seguro diário,,
Graneleiro E,2023-01-22,Xangai,Taxas Portuárias,"3,255.68",Taxas portuárias em Xangai,,
Graneleiro A,2023-01-23,Los Angeles,Combustível,"24,077.77",Combustível em Los Angeles,,
Graneleiro A,2023-01-23,Xangai,Taxas Portuárias,"2,493.23",Taxas portuárias em Xangai,,
Graneleiro A,2023-01-23,Singapura,Taxas Portuárias,"4,859.09",Taxas portuárias em Singapura,,
Graneleiro A,2023-01-23,Singapura,Manutenção,"2,701.61",Manutenção e reparos,,
Graneleiro A,2023-01-23,Xangai,Combustível,"16,644.12",Combustível em Xangai,,
Graneleiro B,2023-01-23,Hamburgo,Carga e Descarga,"958,400.00",Carga e descarga de 47920 toneladas de Fertilizantes,Fertilizantes,47920.0
Graneleiro B,2023-01-23,Hamburgo,Seguros,"2,000.00",Seguro diário,,
Graneleiro B,2023-01-23,Roterdã,Carga e Descarga,"989,085.00",Carga e descarga de 65939 toneladas de Minério de Ferro,Minério de Ferro,65939.0
Graneleiro C,2023-01-23,Xangai,Taxas Portuárias,"4,573.84",Taxas portuárias em Xangai,,
Graneleiro C,2023-01-23,Los Angeles,Manutenção,"3,530.23",Manutenção e reparos,,
Graneleiro C,2023-01-23,Roterdã,Seguros,"2,000.00",Seguro diário,,
Graneleiro D,2023-01-23,Roterdã,Carga e Descarga,"688,956.00",Carga e descarga de 57413 toneladas de Carvão,Carvão,57413.0
Graneleiro D,2023-01-23,Xangai,Seguros,"2,000.00",Seguro diário,,
Graneleiro E,2023-01-23,Hamburgo,Combustível,"12,765.03",Combustível em Hamburgo,,
Graneleiro A,2023-01-24,Xangai,Manutenção,"2,641.63",Manutenção e reparos,,
Graneleiro B,2023-01-24,Singapura,Taxas Portuárias,"7,509.20",Taxas portuárias em Singapura,,
Graneleiro C,2023-01-24,Hamburgo,Seguros,"2,000.00",Seguro diário,,
Graneleiro C,2023-01-24,Los Angeles,Taxas Portuárias,"2,813.85",Taxas portuárias em Los Angeles,,
Graneleiro C,2023-01-24,Roterdã,Taxas Portuárias,"2,709.34",Taxas portuárias em Roterdã,,
Graneleiro C,2023-01-24,Xangai,Combustível,"17,675.42",Combustível em Xangai,,
Graneleiro D,2023-01-24,Xangai,Carga e Descarga,"502,992.00",Carga e descarga de 41916 toneladas de Carvão,Carvão,41916.0
Graneleiro D,2023-01-24,Los Angeles,Taxas Portuárias,"7,011.96",Taxas portuárias em Los Angeles,,
Graneleiro D,2023-01-24,Xangai,Taxas Portuárias,"2,895.28",Taxas portuárias em Xangai,,
Graneleiro D,2023-01-24,Roterdã,Taxas Portuárias,"5,455.65",Taxas portuárias em Roterdã,,
Graneleiro D,2023-01-24,Roterdã,Combustível,"11,542.80",Combustível em Roterdã,,
Graneleiro E,2023-01-24,Roterdã,Carga e Descarga,"741,504.00",Carga e descarga de 61792 toneladas de Carvão,Carvão,61792.0
Graneleiro E,2023-01-24,Roterdã,Seguros,"2,000.00",Seguro diário,,
Graneleiro E,2023-01-24,Xangai,Taxas Portuárias,"7,629.61",Taxas portuárias em Xangai,,
Graneleiro E,2023-01-24,Singapura,Manutenção,"2,785.85",Manutenção e reparos,,
Graneleiro A,2023-01-25,Los Angeles,Combustível,"11,454.42",Combustível em Los Angeles,,
Graneleiro A,2023-01-25,Hamburgo,Manutenção,"3,152.37",Manutenção e reparos,,
Graneleiro A,2023-01-25,Hamburgo,Combustível,"19,964.39",Combustível em Hamburgo,,
Graneleiro B,2023-01-25,Hamburgo,Carga e Descarga,"1,437,100.00",Carga e descarga de 71855 toneladas de Fertilizantes,Fertilizantes,71855.0
Graneleiro B,2023-01-25,Los Angeles,Taxas Portuárias,"2,498.77",Taxas portuárias em Los Angeles,,
Graneleiro C,2023-01-25,Hamburgo,Carga e Descarga,"451,548.00",Carga e descarga de 25086 toneladas de Bauxita,Bauxita,25086.0
Graneleiro C,2023-01-25,Roterdã,Combustível,"29,373.94",Combustível em Roterdã,,
Graneleiro C,2023-01-25,Los Angeles,Manutenção,"2,096.29",Manutenção e reparos,,
Graneleiro C,2023-01-25,Hamburgo,Combustível,"23,301.58",Combustível em Hamburgo,,
Graneleiro D,2023-01-25,Hamburgo,Carga e Descarga,"670,620.00",Carga e descarga de 33531 toneladas de Fertilizantes,Fertilizantes,33531.0
Graneleiro D,2023-01-25,Xangai,Manutenção,"1,126.82",Manutenção e reparos,,
Graneleiro D,2023-01-25,Hamburgo,Seguros,"2,000.00",Seguro diário,,
Graneleiro D,2023-01-25,Hamburgo,Carga e Descarga,"204,420.00",Carga e descarga de 20442 toneladas de Grãos,Grãos,20442.0
Graneleiro E,2023-01-25,Los Angeles,Manutenção,"2,039.38",Manutenção e reparos,,
Graneleiro E,2023-01-25,Singapura,Manutenção,"3,427.15",Manutenção e reparos,,
Graneleiro E,2023-01-25,Hamburgo,Taxas Portuárias,"6,122.16",Taxas portuárias em Hamburgo,,
Graneleiro A,2023-01-26,Hamburgo,Combustível,"29,088.35",Combustível em Hamburgo,,
Graneleiro A,2023-01-26,Singapura,Manutenção,"1,568.96",Manutenção e reparos,,
Graneleiro A,2023-01-26,Hamburgo,Manutenção,"3,028.94",Manutenção e reparos,,
Graneleiro A,2023-01-26,Singapura,Taxas Portuárias,"7,059.94",Taxas portuárias em Singapura,,
Graneleiro A,2023-01-26,Hamburgo,Manutenção,"4,089.43",Manutenção e reparos,,
Graneleiro B,2023-01-26,Hamburgo,Carga e Descarga,"1,480,820.00",Carga e descarga de 74041 toneladas de Fertilizantes,Fertilizantes,74041.0
Graneleiro B,2023-01-26,Hamburgo,Taxas Portuárias,"2,613.48",Taxas portuárias em Hamburgo,,
Graneleiro B,2023-01-26,Roterdã,Seguros,"2,000.00",Seguro diário,,
Graneleiro B,2023-01-26,Hamburgo,Carga e Descarga,"228,710.00",Carga e descarga de 22871 toneladas de Grãos,Grãos,22871.0
Graneleiro B,2023-01-26,Hamburgo,Combustível,"12,658.16",Combustível em Hamburgo,,
Graneleiro C,2023-01-26,Hamburgo,Carga e Descarga,"563,970.00",Carga e descarga de 37598 toneladas de Minério de Ferro,Minério de Ferro,37598.0
Graneleiro C,2023-01-26,Roterdã,Taxas Portuárias,"4,704.73",Taxas portuárias em Roterdã,,
Graneleiro C,2023-01-26,Roterdã,Manutenção,"3,581.24",Manutenção e reparos,,
Graneleiro D,2023-01-26,Singapura,Taxas Portuárias,"5,268.62",Taxas portuárias em Singapura,,
Graneleiro E,2023-01-26,Roterdã,Carga e Descarga,"1,412,082.00",Carga e descarga de 78449 toneladas de Bauxita,Bauxita,78449.0
Graneleiro E,2023-01-26,Hamburgo,Seguros,"2,000.00",Seguro diário,,
Graneleiro E,2023-01-26,Los Angeles,Carga e Descarga,"241,632.00",Carga e descarga de 13424 toneladas de Bauxita,Bauxita,13424.0
Graneleiro A,2023-01-27,Hamburgo,Carga e Descarga,"1,335,834.00",Carga e descarga de 74213 toneladas de Bauxita,Bauxita,74213.0
Graneleiro A,2023-01-27,Roterdã,Carga e Descarga,"188,280.00",Carga e descarga de 12552 toneladas de Minério de Ferro,Minério de Ferro,12552.0
Graneleiro B,2023-01-27,Roterdã,Combustível,"8,314.97",Combustível em Roterdã,,
Graneleiro B,2023-01-27,Hamburgo,Carga e Descarga,"1,117,580.00",Carga e descarga de 55879 toneladas de Fertilizantes,Fertilizantes,55879.0
Graneleiro B,2023-01-27,Roterdã,Combustível,"10,883.64",Combustível em Roterdã,,
Graneleiro B,2023-01-27,Singapura,Combustível,"22,307.04",Combustível em Singapura,,
Graneleiro C,2023-01-27,Hamburgo,Carga e Descarga,"889,944.00",Carga e descarga de 74162 toneladas de Carvão,Carvão,74162.0
Graneleiro D,2023-01-27,Roterdã,Taxas Portuárias,"2,326.71",Taxas portuárias em Roterdã,,
Graneleiro D,2023-01-27,Los Angeles,Combustível,"17,745.03",Combustível em Los Angeles,,
Graneleiro E,2023-01-27,Hamburgo,Combustível,"21,347.46",Combustível em Hamburgo,,
Graneleiro E,2023-01-27,Singapura,Taxas Portuárias,"4,234.21",Taxas portuárias em Singapura,,
Graneleiro A,2023-01-28,Singapura,Taxas Portuárias,"7,716.27",Taxas portuárias em Singapura,,
Graneleiro A,2023-01-28,Roterdã,Manutenção,"1,935.26",Manutenção e reparos,,
Graneleiro B,2023-01-28,Hamburgo,Carga e Descarga,"550,960.00",Carga e descarga de 27548 toneladas de Fertilizantes,Fertilizantes,27548.0
Graneleiro B,2023-01-28,Hamburgo,Combustível,"24,217.07",Combustível em Hamburgo,,
Graneleiro B,2023-01-28,Roterdã,Manutenção,"4,094.25",Manutenção e reparos,,
Graneleiro B,2023-01-28,Xangai,Manutenção,"4,377.70",Manutenção e reparos,,
Graneleiro B,2023-01-28,Roterdã,Manutenção,"1,611.32",Manutenção e reparos,,
Graneleiro C,2023-01-28,Xangai,Combustível,"13,718.19",Combustível em Xangai,,
Graneleiro D,2023-01-28,Los Angeles,Combustível,"17,016.11",Combustível em Los Angeles,,
Graneleiro D,2023-01-28,Hamburgo,Combustível,"13,966.45",Combustível em Hamburgo,,
Graneleiro D,2023-01-28,Singapura,Taxas Portuárias,"4,539.40",Taxas portuárias em Singapura,,
Graneleiro D,2023-01-28,Xangai,Carga e Descarga,"663,370.00",Carga e descarga de 66337 toneladas de Grãos,Grãos,66337.0
Graneleiro E,2023-01-28,Xangai,Manutenção,"1,102.92",Manutenção e reparos,,
Graneleiro E,2023-01-28,Xangai,Manutenção,"4,599.08",Manutenção e reparos,,
Graneleiro E,2023-01-28,Los Angeles,Manutenção,"1,377.79",Manutenção e reparos,,
Graneleiro A,2023-01-29,Roterdã,Manutenção,"2,972.70",Manutenção e reparos,,
Graneleiro B,2023-01-29,Roterdã,Combustível,"28,788.31",Combustível em Roterdã,,
Graneleiro C,2023-01-29,Los Angeles,Seguros,"2,000.00",Seguro diário,,
Graneleiro D,2023-01-29,Singapura,Seguros,"2,000.00",Seguro diário,,
Graneleiro D,2023-01-29,Xangai,Combustível,"21,110.71",Combustível em Xangai,,
Graneleiro D,2023-01-29,Xangai,Carga e Descarga,"778,176.00",Carga e descarga de 43232 toneladas de Bauxita,Bauxita,43232.0
Graneleiro D,2023-01-29,Xangai,Manutenção,"3,355.72",Manutenção e reparos,,
Graneleiro E,2023-01-29,Singapura,Manutenção,"3,841.91",Manutenção e reparos,,
Graneleiro E,2023-01-29,Singapura,Seguros,"2,000.00",Seguro diário,,
Graneleiro E,2023-01-29,Singapura,Carga e Descarga,"646,500.00",Carga e descarga de 43100 toneladas de Minério de Ferro,Minério de Ferro,43100.0
Graneleiro A,2023-01-30,Hamburgo,Combustível,"20,661.62",Combustível em Hamburgo,,
Graneleiro A,2023-01-30,Singapura,Carga e Descarga,"400,440.00",Carga e descarga de 20022 toneladas de Fertilizantes,Fertilizantes,20022.0
Graneleiro B,2023-01-30,Xangai,Seguros,"2,000.00",Seguro diário,,
Graneleiro B,2023-01-30,Los Angeles,Combustível,"20,230.40",Combustível em Los Angeles,,
Graneleiro B,2023-01-30,Singapura,Seguros,"2,000.00",Seguro diário,,
Graneleiro C,2023-01-30,Singapura,Taxas Portuárias,"3,520.28",Taxas portuárias em Singapura,,
Graneleiro C,2023-01-30,Los Angeles,Taxas Portuárias,"6,469.20",Taxas portuárias em Los Angeles,,
Graneleiro C,2023-01-30,Roterdã,Manutenção,"3,371.70",Manutenção e reparos,,
Graneleiro C,2023-01-30,Singapura,Carga e Descarga,"618,588.00",Carga e descarga de 51549 toneladas de Carvão,Carvão,51549.0
Graneleiro C,2023-01-30,Xangai,Combustível,"17,476.37",Combustível em Xangai,,
Graneleiro D,2023-01-30,Roterdã,Combustível,"16,870.63",Combustível em Roterdã,,
Graneleiro D,2023-01-30,Los Angeles,Combustível,"19,273.08",Combustível em Los Angeles,,
Graneleiro D,2023-01-30,Singapura,Carga e Descarga,"1,209,420.00",Carga e descarga de 60471 toneladas de Fertilizantes,Fertilizantes,60471.0
Graneleiro D,2023-01-30,Roterdã,Carga e Descarga,"233,976.00",Carga e descarga de 19498 toneladas de Carvão,Carvão,19498.0
Graneleiro E,2023-01-30,Singapura,Manutenção,"2,882.69",Manutenção e reparos,,
