Nome do Navio,Data,Porto,Tipo de Custo,Valor (USD),Descrição,Número de Contêineres,Tipo de Contêineres
Navio A,2023-01-21,Los Angeles,Taxas Portuárias,"1,550.94",Taxas portuárias em Los Angeles,,
Navio A,2023-01-21,Xangai,Taxas Portuárias,"4,420.72",Taxas portuárias em Xangai,,
Navio A,2023-01-21,Roterdã,Combustível,"5,038.27",Combustível em Roterdã,,
Navio A,2023-01-21,Hamburgo,Manuseio de Contêineres,"183,840.00",Manuseio de 1532 contêineres (Reefer),1532.0,Reefer
Navio B,2023-01-21,Singapura,Seguros,"1,500.00",Seguro diário,,
Navio C,2023-01-21,Singapura,Manuseio de Contêineres,"129,840.00",Manuseio de 1623 contêineres (40'),1623.0,40'
Navio C,2023-01-21,Roterdã,Seguros,"1,500.00",Seguro diário,,
Navio D,2023-01-21,Singapura,Manutenção,"1,595.00",Manutenção e reparos,,
Navio E,2023-01-21,Xangai,Taxas Portuárias,"1,240.65",Taxas portuárias em Xangai,,
Navio A,2023-01-22,Xangai,Seguros,"1,500.00",Seguro diário,,
Navio A,2023-01-22,Xangai,Manuseio de Contêineres,"74,240.00",Manuseio de 928 contêineres (40'),928.0,40'
Navio B,2023-01-22,Los Angeles,Manutenção,"2,823.33",Manutenção e reparos,,
Navio B,2023-01-22,Xangai,Manuseio de Contêineres,"216,840.00",Manuseio de 1807 contêineres (Reefer),1807.0,Reefer
Navio B,2023-01-22,Los Angeles,Taxas Portuárias,"1,870.57",Taxas portuárias em Los Angeles,,
Navio B,2023-01-22,Los Angeles,Seguros,"1,500.00",Seguro diário,,
Navio B,2023-01-22,Singapura,Taxas Portuárias,"3,897.08",Taxas portuárias em Singapura,,
Navio C,2023-01-22,Los Angeles,Seguros,"1,500.00",Seguro diário,,
Navio C,2023-01-22,Xangai,Seguros,"1,500.00",Seguro diário,,
Navio D,2023-01-22,Singapura,Seguros,"1,500.00",Seguro diário,,
Navio E,2023-01-22,Roterdã,Manuseio de Contêineres,"32,250.00",Manuseio de 645 contêineres (20'),645.0,20'
Navio A,2023-01-23,Hamburgo,Manuseio de Contêineres,"44,240.00",Manuseio de 553 contêineres (40'),553.0,40'
Navio B,2023-01-23,Roterdã,Combustível,"10,143.97",Combustível em Roterdã,,
Navio B,2023-01-23,Singapura,Combustível,"17,951.60",Combustível em Singapura,,
Navio B,2023-01-23,Los Angeles,Combustível,"14,316.51",Combustível em Los Angeles,,
Navio C,2023-01-23,Hamburgo,Manuseio de Contêineres,"220,440.00",Manuseio de 1837 contêineres (Reefer),1837.0,Reefer
Navio C,2023-01-23,Los Angeles,Manutenção,"1,817.67",Manutenção e reparos,,
Navio C,2023-01-23,Roterdã,Combustível,"15,110.78",Combustível em Roterdã,,
Navio D,2023-01-23,Roterdã,Combustível,"13,545.45",Combustível em Roterdã,,
Navio D,2023-01-23,Roterdã,Manutenção,"1,987.56",Manutenção e reparos,,
Navio E,2023-01-23,Los Angeles,Seguros,"1,500.00",Seguro diário,,
Navio E,2023-01-23,Los Angeles,Combustível,"18,426.15",Combustível em Los Angeles,,
Navio E,2023-01-23,Roterdã,Combustível,"10,877.32",Combustível em Roterdã,,
Navio A,2023-01-24,Roterdã,Manutenção,"1,809.64",Manutenção e reparos,,
Navio A,2023-01-24,Xangai,Seguros,"1,500.00",Seguro diário,,
Navio B,2023-01-24,Roterdã,Seguros,"1,500.00",Seguro diário,,
Navio B,2023-01-24,Roterdã,Manuseio de Contêineres,"211,440.00",Manuseio de 1762 contêineres (Reefer),1762.0,Reefer
Navio C,2023-01-24,Roterdã,Manutenção,"2,851.90",Manutenção e reparos,,
Navio C,2023-01-24,Hamburgo,Manutenção,"2,064.87",Manutenção e reparos,,
Navio D,2023-01-24,Hamburgo,Seguros,"1,500.00",Seguro diário,,
Navio D,2023-01-24,Xangai,Combustível,"11,841.52",Combustível em Xangai,,
Navio D,2023-01-24,Los Angeles,Combustível,"17,966.79",Combustível em Los Angeles,,
Navio D,2023-01-24,Xangai,Manutenção,"1,218.75",Manutenção e reparos,,
Navio E,2023-01-24,Hamburgo,Seguros,"1,500.00",Seguro diário,,
Navio A,2023-01-25,Singapura,Combustível,"17,416.22",Combustível em Singapura,,
Navio A,2023-01-25,Hamburgo,Taxas Portuárias,"2,043.59",Taxas portuárias em Hamburgo,,
Navio A,2023-01-25,Singapura,Manuseio de Contêineres,"64,080.00",Manuseio de 801 contêineres (40'),801.0,40'
Navio A,2023-01-25,Hamburgo,Manuseio de Contêineres,"72,720.00",Manuseio de 606 contêineres (Reefer),606.0,Reefer
Navio A,2023-01-25,Xangai,Manuseio de Contêineres,"66,050.00",Manuseio de 1321 contêineres (20'),1321.0,20'
Navio B,2023-01-25,Xangai,Taxas Portuárias,"4,203.74",Taxas portuárias em Xangai,,
Navio B,2023-01-25,Hamburgo,Seguros,"1,500.00",Seguro diário,,
Navio B,2023-01-25,Roterdã,Manutenção,"1,636.48",Manutenção e reparos,,
Navio C,2023-01-25,Los Angeles,Taxas Portuárias,"2,992.55",Taxas portuárias em Los Angeles,,
Navio C,2023-01-25,Singapura,Taxas Portuárias,"3,065.50",Taxas portuárias em Singapura,,
Navio C,2023-01-25,Hamburgo,Seguros,"1,500.00",Seguro diário,,
Navio C,2023-01-25,Singapura,Seguros,"1,500.00",Seguro diário,,
Navio C,2023-01-25,Los Angeles,Manutenção,"2,097.72",Manutenção e reparos,,
Navio D,2023-01-25,Hamburgo,Manutenção,"2,494.23",Manutenção e reparos,,
Navio D,2023-01-25,Roterdã,Combustível,"11,715.87",Combustível em Roterdã,,
Navio E,2023-01-25,Roterdã,Seguros,"1,500.00",Seguro diário,,
Navio E,2023-01-25,Singapura,Taxas Portuárias,"2,383.20",Taxas portuárias em Singapura,,
Navio A,2023-01-26,Xangai,Taxas Portuárias,"4,771.13",Taxas portuárias em Xangai,,
Navio A,2023-01-26,Roterdã,Combustível,"6,018.95",Combustível em Roterdã,,
Navio A,2023-01-26,Singapura,Combustível,"15,051.26",Combustível em Singapura,,
Navio A,2023-01-26,Singapura,Seguros,"1,500.00",Seguro diário,,
Navio B,2023-01-26,Roterdã,Combustível,"18,405.35",Combustível em Roterdã,,
Navio C,2023-01-26,Los Angeles,Manuseio de Contêineres,"69,760.00",Manuseio de 872 contêineres (40'),872.0,40'
Navio C,2023-01-26,Roterdã,Manuseio de Contêineres,"93,850.00",Manuseio de 1877 contêineres (20'),1877.0,20'
Navio D,2023-01-26,Singapura,Combustível,"11,873.83",Combustível em Singapura,,
Navio D,2023-01-26,Los Angeles,Seguros,"1,500.00",Seguro diário,,
Navio E,2023-01-26,Singapura,Taxas Portuárias,"1,288.55",Taxas portuárias em Singapura,,
Navio E,2023-01-26,Hamburgo,Manutenção,"1,705.52",Manutenção e reparos,,
Navio A,2023-01-27,Hamburgo,Manuseio de Contêineres,"107,120.00",Manuseio de 1339 contêineres (40'),1339.0,40'
Navio A,2023-01-27,Roterdã,Seguros,"1,500.00",Seguro diário,,
Navio A,2023-01-27,Los Angeles,Manutenção,"1,622.94",Manutenção e reparos,,
Navio B,2023-01-27,Xangai,Taxas Portuárias,"4,423.19",Taxas portuárias em Xangai,,
Navio B,2023-01-27,Hamburgo,Seguros,"1,500.00",Seguro diário,,
Navio C,2023-01-27,Los Angeles,Taxas Portuárias,"2,290.33",Taxas portuárias em Los Angeles,,
Navio C,2023-01-27,Roterdã,Seguros,"1,500.00",Seguro diário,,
Navio C,2023-01-27,Roterdã,Manuseio de Contêineres,"206,760.00",Manuseio de 1723 contêineres (Reefer),1723.0,Reefer
Navio C,2023-01-27,Los Angeles,Manuseio de Contêineres,"42,240.00",Manuseio de 528 contêineres (40'),528.0,40'
Navio D,2023-01-27,Singapura,Manutenção,"2,521.91",Manutenção e reparos,,
Navio D,2023-01-27,Hamburgo,Combustível,"11,443.86",Combustível em Hamburgo,,
Navio D,2023-01-27,Los Angeles,Combustível,"5,736.14",Combustível em Los Angeles,,
Navio D,2023-01-27,Los Angeles,Taxas Portuárias,"1,654.36",Taxas portuárias em Los Angeles,,
Navio D,2023-01-27,Singapura,Manutenção,518.85,Manutenção e reparos,,
Navio E,2023-01-27,Hamburgo,Manutenção,"2,892.03",Manutenção e reparos,,
Navio E,2023-01-27,Roterdã,Manuseio de Contêineres,"128,960.00",Manuseio de 1612 contêineres (40'),1612.0,40'
Navio E,2023-01-27,Hamburgo,Taxas Portuárias,"4,768.33",Taxas portuárias em Hamburgo,,
Navio E,2023-01-27,Hamburgo,Seguros,"1,500.00",Seguro diário,,
Navio E,2023-01-27,Hamburgo,Manutenção,"1,967.59",Manutenção e reparos,,
Navio A,2023-01-28,Los Angeles,Combustível,"15,857.07",Combustível em Los Angeles,,
Navio A,2023-01-28,Xangai,Manuseio de Contêineres,"109,040.00",Manuseio de 1363 contêineres (40'),1363.0,40'
Navio A,2023-01-28,Los Angeles,Manutenção,"2,956.98",Manutenção e reparos,,
Navio A,2023-01-28,Los Angeles,Manuseio de Contêineres,"26,500.00",Manuseio de 530 contêineres (20'),530.0,20'
Navio B,2023-01-28,Hamburgo,Manuseio de Contêineres,"91,360.00",Manuseio de 1142 contêineres (40'),1142.0,40'
Navio C,2023-01-28,Los Angeles,Manuseio de Contêineres,"62,080.00",Manuseio de 776 contêineres (40'),776.0,40'
Navio C,2023-01-28,Roterdã,Seguros,"1,500.00",Seguro diário,,
Navio C,2023-01-28,Xangai,Taxas Portuárias,"3,918.69",Taxas portuárias em Xangai,,
Navio C,2023-01-28,Singapura,Combustível,"15,032.45",Combustível em Singapura,,
Navio C,2023-01-28,Los Angeles,Seguros,"1,500.00",Seguro diário,,
Navio D,2023-01-28,Los Angeles,Seguros,"1,500.00",Seguro diário,,
Navio D,2023-01-28,Roterdã,Manutenção,"1,232.10",Manutenção e reparos,,
Navio D,2023-01-28,Roterdã,Manutenção,"2,826.00",Manutenção e reparos,,
Navio E,2023-01-28,Los Angeles,Manutenção,689.95,Manutenção e reparos,,
Navio E,2023-01-28,Xangai,Seguros,"1,500.00",Seguro diário,,
Navio A,2023-01-29,Xangai,Taxas Portuárias,"1,371.69",Taxas portuárias em Xangai,,
Navio B,2023-01-29,Roterdã,Manuseio de Contêineres,"66,480.00",Manuseio de 831 contêineres (40'),831.0,40'
Navio C,2023-01-29,Xangai,Manutenção,"1,853.91",Manutenção e reparos,,
Navio C,2023-01-29,Los Angeles,Taxas Portuárias,"2,279.48",Taxas portuárias em Los Angeles,,
Navio C,2023-01-29,Los Angeles,Combustível,"11,008.14",Combustível em Los Angeles,,
Navio C,2023-01-29,Xangai,Manuseio de Contêineres,"56,700.00",Manuseio de 1134 contêineres (20'),1134.0,20'
Navio D,2023-01-29,Xangai,Taxas Portuárias,"4,483.51",Taxas portuárias em Xangai,,
Navio D,2023-01-29,Singapura,Manuseio de Contêineres,"145,040.00",Manuseio de 1813 contêineres (40'),1813.0,40'
Navio E,2023-01-29,Roterdã,Taxas Portuárias,"2,593.50",Taxas portuárias em Roterdã,,
Navio E,2023-01-29,Hamburgo,Manuseio de Contêineres,"96,050.00",Manuseio de 1921 contêineres (20'),1921.0,20'
Navio E,2023-01-29,Hamburgo,Seguros,"1,500.00",Seguro diário,,
Navio E,2023-01-29,Los Angeles,Manuseio de Contêineres,"216,600.00",Manuseio de 1805 contêineres (Reefer),1805.0,Reefer
Navio E,2023-01-29,Roterdã,Manuseio de Contêineres,"67,920.00",Manuseio de 849 contêineres (40'),849.0,40'
Navio A,2023-01-30,Xangai,Taxas Portuárias,"1,534.18",Taxas portuárias em Xangai,,
Navio A,2023-01-30,Singapura,Manutenção,"1,302.30",Manutenção e reparos,,
Navio A,2023-01-30,Hamburgo,Taxas Portuárias,"4,947.84",Taxas portuárias em Hamburgo,,
Navio A,2023-01-30,Los Angeles,Combustível,"17,702.03",Combustível em Los Angeles,,
Navio A,2023-01-30,Singapura,Seguros,"1,500.00",Seguro diário,,
Navio B,2023-01-30,Roterdã,Manutenção,"2,038.79",Manutenção e reparos,,
Navio B,2023-01-30,Roterdã,Combustível,"10,470.49",Combustível em Roterdã,,
Navio B,2023-01-30,Roterdã,Combustível,"7,011.49",Combustível em Roterdã,,
Navio C,2023-01-30,Roterdã,Combustível,"15,901.84",Combustível em Roterdã,,
Navio C,2023-01-30,Hamburgo,Manutenção,"2,162.00",Manutenção e reparos,,
Navio D,2023-01-30,Los Angeles,Taxas Portuárias,"1,419.65",Taxas portuárias em Los Angeles,,
Navio D,2023-01-30,Xangai,Seguros,"1,500.00",Seguro diário,,
Navio D,2023-01-30,Singapura,Combustível,"15,942.59",Combustível em Singapura,,
Navio D,2023-01-30,Singapura,Seguros,"1,500.00",Seguro diário,,
Navio D,2023-01-30,Singapura,Seguros,"1,500.00",Seguro diário,,
Navio E,2023-01-30,Singapura,Taxas Portuárias,"1,804.80",Taxas portuárias em Singapura,,
Navio E,2023-01-30,Los Angeles,Manutenção,"2,484.36",Manutenção e reparos,,
