Nome do Navio,Data,Porto,Tipo de Custo,Valor (USD),Descrição,Número de Veículos,Tipo de Veículos
Ro-Ro A,2023-01-19,Los Angeles,Embarque e Desembarque,"19,600.00",Embarque e desembarque de 245 Carros,245.0,Carros
Ro-Ro B,2023-01-19,Singapura,Embarque e Desembarque,"143,400.00",Embarque e desembarque de 717 Caminhões,717.0,Caminhões
Ro-Ro C,2023-01-19,Singapura,Embarque e Desembarque,"69,440.00",Embarque e desembarque de 868 Carros,868.0,Carros
Ro-Ro C,2023-01-19,Xangai,Combustível,"21,752.80",Combustível em Xangai,,
Ro-Ro C,2023-01-19,Los Angeles,Manutenção,"2,681.89",Manutenção e reparos,,
Ro-Ro C,2023-01-19,Roterdã,Embarque e Desembarque,"18,400.00",Embarque e desembarque de 230 Carros,230.0,Carros
Ro-Ro D,2023-01-19,Los Angeles,Embarque e Desembarque,"143,000.00",Embarque e desembarque de 715 Caminhões,715.0,Caminhões
Ro-Ro D,2023-01-19,Xangai,Combustível,"9,952.77",Combustível em Xangai,,
Ro-Ro D,2023-01-19,Los Angeles,Embarque e Desembarque,"63,360.00",Embarque e desembarque de 528 Outros,528.0,Outros
Ro-Ro E,2023-01-19,Hamburgo,Taxas Portuárias,"5,154.48",Taxas portuárias em Hamburgo,,
Ro-Ro E,2023-01-19,Roterdã,Embarque e Desembarque,"43,600.00",Embarque e desembarque de 545 Carros,545.0,Carros
Ro-Ro E,2023-01-19,Xangai,Seguros,"1,800.00",Seguro diário,,
Ro-Ro A,2023-01-20,Xangai,Combustível,"15,176.75",Combustível em Xangai,,
Ro-Ro A,2023-01-20,Xangai,Taxas Portuárias,"2,255.44",Taxas portuárias em Xangai,,
Ro-Ro A,2023-01-20,Los Angeles,Seguros,"1,800.00",Seguro diário,,
Ro-Ro A,2023-01-20,Los Angeles,Embarque e Desembarque,"69,720.00",Embarque e desembarque de 581 Outros,581.0,Outros
Ro-Ro B,2023-01-20,Roterdã,Taxas Portuárias,"5,385.61",Taxas portuárias em Roterdã,,
Ro-Ro C,2023-01-20,Hamburgo,Seguros,"1,800.00",Seguro diário,,
Ro-Ro D,2023-01-20,Hamburgo,Seguros,"1,800.00",Seguro diário,,
Ro-Ro E,2023-01-20,Roterdã,Combustível,"6,123.02",Combustível em Roterdã,,
Ro-Ro E,2023-01-20,Roterdã,Taxas Portuárias,"1,775.39",Taxas portuárias em Roterdã,,
Ro-Ro E,2023-01-20,Singapura,Seguros,"1,800.00",Seguro diário,,
Ro-Ro A,2023-01-21,Singapura,Embarque e Desembarque,"93,600.00",Embarque e desembarque de 468 Caminhões,468.0,Caminhões
Ro-Ro A,2023-01-21,Roterdã,Combustível,"22,860.91",Combustível em Roterdã,,
Ro-Ro B,2023-01-21,Roterdã,Manutenção,990.28,Manutenção e reparos,,
Ro-Ro B,2023-01-21,Roterdã,Taxas Portuárias,"2,291.14",Taxas portuárias em Roterdã,,
Ro-Ro B,2023-01-21,Hamburgo,Seguros,"1,800.00",Seguro diário,,
Ro-Ro B,2023-01-21,Hamburgo,Combustível,"11,834.55",Combustível em Hamburgo,,
Ro-Ro B,2023-01-21,Roterdã,Embarque e Desembarque,"94,560.00",Embarque e desembarque de 788 Outros,788.0,Outros
Ro-Ro C,2023-01-21,Roterdã,Embarque e Desembarque,"71,840.00",Embarque e desembarque de 898 Carros,898.0,Carros
Ro-Ro C,2023-01-21,Xangai,Manutenção,"2,704.48",Manutenção e reparos,,
Ro-Ro C,2023-01-21,Los Angeles,Seguros,"1,800.00",Seguro diário,,
Ro-Ro D,2023-01-21,Hamburgo,Combustível,"6,882.02",Combustível em Hamburgo,,
Ro-Ro E,2023-01-21,Hamburgo,Combustível,"15,935.24",Combustível em Hamburgo,,
Ro-Ro A,2023-01-22,Los Angeles,Embarque e Desembarque,"93,840.00",Embarque e desembarque de 782 Outros,782.0,Outros
Ro-Ro A,2023-01-22,Hamburgo,Seguros,"1,800.00",Seguro diário,,
Ro-Ro A,2023-01-22,Hamburgo,Embarque e Desembarque,"107,160.00",Embarque e desembarque de 893 Outros,893.0,Outros
Ro-Ro B,2023-01-22,Los Angeles,Seguros,"1,800.00",Seguro diário,,
Ro-Ro C,2023-01-22,Hamburgo,Seguros,"1,800.00",Seguro diário,,
Ro-Ro C,2023-01-22,Roterdã,Taxas Portuárias,"5,898.84",Taxas portuárias em Roterdã,,
Ro-Ro C,2023-01-22,Hamburgo,Combustível,"18,217.75",Combustível em Hamburgo,,
Ro-Ro D,2023-01-22,Roterdã,Seguros,"1,800.00",Seguro diário,,
Ro-Ro D,2023-01-22,Los Angeles,Taxas Portuárias,"2,927.56",Taxas portuárias em Los Angeles,,
Ro-Ro D,2023-01-22,Los Angeles,Manutenção,"2,492.52",Manutenção e reparos,,
Ro-Ro D,2023-01-22,Singapura,Seguros,"1,800.00",Seguro diário,,
Ro-Ro D,2023-01-22,Los Angeles,Manutenção,"2,273.99",Manutenção e reparos,,
Ro-Ro E,2023-01-22,Los Angeles,Manutenção,"2,455.92",Manutenção e reparos,,
Ro-Ro E,2023-01-22,Singapura,Manutenção,"2,808.49",Manutenção e reparos,,
Ro-Ro E,2023-01-22,Xangai,Manutenção,"2,625.00",Manutenção e reparos,,
Ro-Ro E,2023-01-22,Hamburgo,Taxas Portuárias,"2,157.47",Taxas portuárias em Hamburgo,,
Ro-Ro E,2023-01-22,Singapura,Embarque e Desembarque,"50,480.00",Embarque e desembarque de 631 Carros,631.0,Carros
Ro-Ro A,2023-01-23,Roterdã,Taxas Portuárias,"4,375.87",Taxas portuárias em Roterdã,,
Ro-Ro A,2023-01-23,Los Angeles,Manutenção,"2,597.92",Manutenção e reparos,,
Ro-Ro B,2023-01-23,Roterdã,Taxas Portuárias,"4,651.87",Taxas portuárias em Roterdã,,
Ro-Ro B,2023-01-23,Xangai,Combustível,"21,752.47",Combustível em Xangai,,
Ro-Ro B,2023-01-23,Hamburgo,Manutenção,873.75,Manutenção e reparos,,
Ro-Ro B,2023-01-23,Los Angeles,Seguros,"1,800.00",Seguro diário,,
Ro-Ro B,2023-01-23,Hamburgo,Combustível,"17,885.07",Combustível em Hamburgo,,
Ro-Ro C,2023-01-23,Los Angeles,Manutenção,"2,504.25",Manutenção e reparos,,
Ro-Ro C,2023-01-23,Singapura,Manutenção,"3,207.31",Manutenção e reparos,,
Ro-Ro C,2023-01-23,Roterdã,Taxas Portuárias,"2,227.05",Taxas portuárias em Roterdã,,
Ro-Ro C,2023-01-23,Xangai,Combustível,"7,520.21",Combustível em Xangai,,
Ro-Ro C,2023-01-23,Xangai,Combustível,"24,686.32",Combustível em Xangai,,
Ro-Ro D,2023-01-23,Xangai,Seguros,"1,800.00",Seguro diário,,
Ro-Ro D,2023-01-23,Hamburgo,Embarque e Desembarque,"105,120.00",Embarque e desembarque de 876 Outros,876.0,Outros
Ro-Ro D,2023-01-23,Xangai,Embarque e Desembarque,"9,120.00",Embarque e desembarque de 114 Carros,114.0,Carros
Ro-Ro E,2023-01-23,Singapura,Embarque e Desembarque,"62,200.00",Embarque e desembarque de 311 Caminhões,311.0,Caminhões
Ro-Ro E,2023-01-23,Singapura,Taxas Portuárias,"5,175.67",Taxas portuárias em Singapura,,
Ro-Ro A,2023-01-24,Roterdã,Combustível,"18,678.98",Combustível em Roterdã,,
Ro-Ro A,2023-01-24,Los Angeles,Taxas Portuárias,"2,374.12",Taxas portuárias em Los Angeles,,
Ro-Ro A,2023-01-24,Roterdã,Taxas Portuárias,"2,634.09",Taxas portuárias em Roterdã,,
Ro-Ro A,2023-01-24,Singapura,Embarque e Desembarque,"99,600.00",Embarque e desembarque de 830 Outros,830.0,Outros
Ro-Ro B,2023-01-24,Los Angeles,Manutenção,"2,743.39",Manutenção e reparos,,
Ro-Ro B,2023-01-24,Singapura,Embarque e Desembarque,"102,800.00",Embarque e desembarque de 514 Caminhões,514.0,Caminhões
Ro-Ro C,2023-01-24,Roterdã,Seguros,"1,800.00",Seguro diário,,
Ro-Ro C,2023-01-24,Hamburgo,Taxas Portuárias,"1,721.17",Taxas portuárias em Hamburgo,,
Ro-Ro C,2023-01-24,Singapura,Taxas Portuárias,"1,922.48",Taxas portuárias em Singapura,,
Ro-Ro C,2023-01-24,Roterdã,Combustível,"14,886.25",Combustível em Roterdã,,
Ro-Ro D,2023-01-24,Los Angeles,Manutenção,"1,984.31",Manutenção e reparos,,
Ro-Ro D,2023-01-24,Los Angeles,Taxas Portuárias,"5,309.83",Taxas portuárias em Los Angeles,,
Ro-Ro D,2023-01-24,Singapura,Seguros,"1,800.00",Seguro diário,,
Ro-Ro D,2023-01-24,Hamburgo,Taxas Portuárias,"2,794.34",Taxas portuárias em Hamburgo,,
Ro-Ro E,2023-01-24,Singapura,Seguros,"1,800.00",Seguro diário,,
Ro-Ro A,2023-01-25,Xangai,Embarque e Desembarque,"123,600.00",Embarque e desembarque de 618 Caminhões,618.0,Caminhões
Ro-Ro B,2023-01-25,Roterdã,Taxas Portuárias,"2,795.38",Taxas portuárias em Roterdã,,
Ro-Ro B,2023-01-25,Roterdã,Taxas Portuárias,"3,173.87",Taxas portuárias em Roterdã,,
Ro-Ro B,2023-01-25,Hamburgo,Embarque e Desembarque,"55,920.00",Embarque e desembarque de 699 Carros,699.0,Carros
Ro-Ro B,2023-01-25,Roterdã,Taxas Portuárias,"3,686.58",Taxas portuárias em Roterdã,,
Ro-Ro B,2023-01-25,Xangai,Manutenção,"1,422.35",Manutenção e reparos,,
Ro-Ro C,2023-01-25,Los Angeles,Embarque e Desembarque,"58,600.00",Embarque e desembarque de 293 Caminhões,293.0,Caminhões
Ro-Ro C,2023-01-25,Xangai,Manutenção,"2,844.70",Manutenção e reparos,,
Ro-Ro C,2023-01-25,Los Angeles,Seguros,"1,800.00",Seguro diário,,
Ro-Ro D,2023-01-25,Singapura,Taxas Portuárias,"4,412.77",Taxas portuárias em Singapura,,
Ro-Ro D,2023-01-25,Los Angeles,Taxas Portuárias,"4,847.72",Taxas portuárias em Los Angeles,,
Ro-Ro D,2023-01-25,Los Angeles,Manutenção,"2,203.10",Manutenção e reparos,,
Ro-Ro D,2023-01-25,Singapura,Combustível,"14,483.93",Combustível em Singapura,,
Ro-Ro E,2023-01-25,Roterdã,Combustível,"24,909.71",Combustível em Roterdã,,
Ro-Ro E,2023-01-25,Roterdã,Manutenção,"1,520.20",Manutenção e reparos,,
Ro-Ro A,2023-01-26,Roterdã,Combustível,"9,768.93",Combustível em Roterdã,,
Ro-Ro A,2023-01-26,Los Angeles,Manutenção,"1,543.62",Manutenção e reparos,,
Ro-Ro B,2023-01-26,Singapura,Seguros,"1,800.00",Seguro diário,,
Ro-Ro B,2023-01-26,Hamburgo,Combustível,"12,203.99",Combustível em Hamburgo,,
Ro-Ro B,2023-01-26,Xangai,Manutenção,"1,697.24",Manutenção e reparos,,
Ro-Ro C,2023-01-26,Hamburgo,Taxas Portuárias,"3,338.62",Taxas portuárias em Hamburgo,,
Ro-Ro D,2023-01-26,Singapura,Seguros,"1,800.00",Seguro diário,,
Ro-Ro D,2023-01-26,Roterdã,Taxas Portuárias,"4,267.93",Taxas portuárias em Roterdã,,
Ro-Ro D,2023-01-26,Singapura,Combustível,"15,590.54",Combustível em Singapura,,
Ro-Ro E,2023-01-26,Los Angeles,Embarque e Desembarque,"111,480.00",Embarque e desembarque de 929 Outros,929.0,Outros
Ro-Ro E,2023-01-26,Los Angeles,Embarque e Desembarque,"129,200.00",Embarque e desembarque de 646 Caminhões,646.0,Caminhões
Ro-Ro E,2023-01-26,Hamburgo,Embarque e Desembarque,"99,240.00",Embarque e desembarque de 827 Outros,827.0,Outros
Ro-Ro E,2023-01-26,Roterdã,Seguros,"1,800.00",Seguro diário,,
Ro-Ro A,2023-01-27,Hamburgo,Seguros,"1,800.00",Seguro diário,,
Ro-Ro B,2023-01-27,Singapura,Taxas Portuárias,"5,211.32",Taxas portuárias em Singapura,,
Ro-Ro B,2023-01-27,Hamburgo,Embarque e Desembarque,"64,480.00",Embarque e desembarque de 806 Carros,806.0,Carros
Ro-Ro B,2023-01-27,Roterdã,Manutenção,"2,449.12",Manutenção e reparos,,
Ro-Ro B,2023-01-27,Roterdã,Taxas Portuárias,"5,116.05",Taxas portuárias em Roterdã,,
Ro-Ro C,2023-01-27,Los Angeles,Taxas Portuárias,"3,970.65",Taxas portuárias em Los Angeles,,
Ro-Ro C,2023-01-27,Singapura,Seguros,"1,800.00",Seguro diário,,
Ro-Ro C,2023-01-27,Singapura,Combustível,"19,039.89",Combustível em Singapura,,
Ro-Ro D,2023-01-27,Roterdã,Embarque e Desembarque,"34,640.00",Embarque e desembarque de 433 Carros,433.0,Carros
Ro-Ro D,2023-01-27,Los Angeles,Taxas Portuárias,"2,242.63",Taxas portuárias em Los Angeles,,
Ro-Ro D,2023-01-27,Xangai,Manutenção,"2,542.90",Manutenção e reparos,,
Ro-Ro D,2023-01-27,Los Angeles,Taxas Portuárias,"2,010.44",Taxas portuárias em Los Angeles,,
Ro-Ro D,2023-01-27,Roterdã,Taxas Portuárias,"5,622.17",Taxas portuárias em Roterdã,,
Ro-Ro E,2023-01-27,Roterdã,Combustível,"19,023.39",Combustível em Roterdã,,
Ro-Ro E,2023-01-27,Roterdã,Manutenção,"2,173.90",Manutenção e reparos,,
Ro-Ro A,2023-01-28,Singapura,Manutenção,"3,107.71",Manutenção e reparos,,
Ro-Ro A,2023-01-28,Xangai,Seguros,"1,800.00",Seguro diário,,
Ro-Ro A,2023-01-28,Xangai,Seguros,"1,800.00",Seguro diário,,
Ro-Ro A,2023-01-28,Xangai,Seguros,"1,800.00",Seguro diário,,
Ro-Ro A,2023-01-28,Singapura,Taxas Portuárias,"3,262.10",Taxas portuárias em Singapura,,
Ro-Ro B,2023-01-28,Hamburgo,Embarque e Desembarque,"13,920.00",Embarque e desembarque de 174 Carros,174.0,Carros
Ro-Ro B,2023-01-28,Singapura,Embarque e Desembarque,"98,640.00",Embarque e desembarque de 822 Outros,822.0,Outros
Ro-Ro B,2023-01-28,Xangai,Taxas Portuárias,"2,690.70",Taxas portuárias em Xangai,,
Ro-Ro C,2023-01-28,Singapura,Combustível,"13,182.53",Combustível em Singapura,,
Ro-Ro C,2023-01-28,Los Angeles,Manutenção,"1,265.74",Manutenção e reparos,,
Ro-Ro C,2023-01-28,Singapura,Embarque e Desembarque,"70,320.00",Embarque e desembarque de 879 Carros,879.0,Carros
Ro-Ro C,2023-01-28,Singapura,Taxas Portuárias,"2,039.40",Taxas portuárias em Singapura,,
Ro-Ro D,2023-01-28,Singapura,Taxas Portuárias,"4,392.36",Taxas portuárias em Singapura,,
Ro-Ro D,2023-01-28,Roterdã,Embarque e Desembarque,"32,400.00",Embarque e desembarque de 270 Outros,270.0,Outros
Ro-Ro D,2023-01-28,Los Angeles,Embarque e Desembarque,"68,400.00",Embarque e desembarque de 342 Caminhões,342.0,Caminhões
Ro-Ro D,2023-01-28,Roterdã,Combustível,"10,974.17",Combustível em Roterdã,,
Ro-Ro D,2023-01-28,Hamburgo,Manutenção,"1,170.67",Manutenção e reparos,,
Ro-Ro E,2023-01-28,Los Angeles,Combustível,"18,498.41",Combustível em Los Angeles,,
Ro-Ro E,2023-01-28,Roterdã,Manutenção,"2,724.13",Manutenção e reparos,,
Ro-Ro E,2023-01-28,Xangai,Manutenção,"3,009.77",Manutenção e reparos,,
Ro-Ro E,2023-01-28,Singapura,Manutenção,"1,473.17",Manutenção e reparos,,
Ro-Ro E,2023-01-28,Roterdã,Manutenção,"1,522.86",Manutenção e reparos,,
Ro-Ro A,2023-01-29,Singapura,Combustível,"13,966.99",Combustível em Singapura,,
Ro-Ro A,2023-01-29,Hamburgo,Combustível,"7,914.73",Combustível em Hamburgo,,
Ro-Ro B,2023-01-29,Los Angeles,Taxas Portuárias,"2,973.21",Taxas portuárias em Los Angeles,,
Ro-Ro B,2023-01-29,Los Angeles,Manutenção,"3,499.93",Manutenção e reparos,,
Ro-Ro B,2023-01-29,Singapura,Taxas Portuárias,"1,858.63",Taxas portuárias em Singapura,,
Ro-Ro B,2023-01-29,Xangai,Manutenção,"3,488.19",Manutenção e reparos,,
Ro-Ro B,2023-01-29,Xangai,Combustível,"7,369.90",Combustível em Xangai,,
Ro-Ro C,2023-01-29,Xangai,Combustível,"16,084.87",Combustível em Xangai,,
Ro-Ro C,2023-01-29,Singapura,Embarque e Desembarque,"25,000.00",Embarque e desembarque de 125 Caminhões,125.0,Caminhões
Ro-Ro C,2023-01-29,Singapura,Manutenção,"2,254.01",Manutenção e reparos,,
Ro-Ro C,2023-01-29,Xangai,Embarque e Desembarque,"37,440.00",Embarque e desembarque de 312 Outros,312.0,Outros
Ro-Ro C,2023-01-29,Xangai,Manutenção,"2,813.17",Manutenção e reparos,,
Ro-Ro D,2023-01-29,Roterdã,Taxas Portuárias,"2,403.86",Taxas portuárias em Roterdã,,
Ro-Ro D,2023-01-29,Roterdã,Embarque e Desembarque,"37,280.00",Embarque e desembarque de 466 Carros,466.0,Carros
Ro-Ro E,2023-01-29,Xangai,Seguros,"1,800.00",Seguro diário,,
Ro-Ro E,2023-01-29,Los Angeles,Manutenção,"1,376.37",Manutenção e reparos,,
Ro-Ro E,2023-01-29,Roterdã,Embarque e Desembarque,"53,200.00",Embarque e desembarque de 266 Caminhões,266.0,Caminhões
Ro-Ro E,2023-01-29,Singapura,Combustível,"6,888.23",Combustível em Singapura,,
Ro-Ro E,2023-01-29,Hamburgo,Taxas Portuárias,"1,987.46",Taxas portuárias em Hamburgo,,
Ro-Ro A,2023-01-30,Singapura,Taxas Portuárias,"5,711.22",Taxas portuárias em Singapura,,
Ro-Ro A,2023-01-30,Los Angeles,Seguros,"1,800.00",Seguro diário,,
Ro-Ro B,2023-01-30,Singapura,Seguros,"1,800.00",Seguro diário,,
Ro-Ro C,2023-01-30,Roterdã,Seguros,"1,800.00",Seguro diário,,
Ro-Ro C,2023-01-30,Los Angeles,Seguros,"1,800.00",Seguro diário,,
Ro-Ro C,2023-01-30,Los Angeles,Manutenção,"3,256.11",Manutenção e reparos,,
Ro-Ro D,2023-01-30,Xangai,Seguros,"1,800.00",Seguro diário,,
Ro-Ro D,2023-01-30,Singapura,Seguros,"1,800.00",Seguro diário,,
Ro-Ro D,2023-01-30,Xangai,Manutenção,"3,276.97",Manutenção e reparos,,
Ro-Ro D,2023-01-30,Singapura,Manutenção,"2,918.63",Manutenção e reparos,,
Ro-Ro D,2023-01-30,Los Angeles,Embarque e Desembarque,"75,200.00",Embarque e desembarque de 376 Caminhões,376.0,Caminhões
Ro-Ro E,2023-01-30,Xangai,Seguros,"1,800.00",Seguro diário,,
Ro-Ro E,2023-01-30,Roterdã,Manutenção,"1,226.02",Manutenção e reparos,,
Ro-Ro E,2023-01-30,Hamburgo,Seguros,"1,800.00",Seguro diário,,
Ro-Ro E,2023-01-30,Hamburgo,Taxas Portuárias,"1,676.67",Taxas portuárias em Hamburgo,,
